,Florida,California,Texas,New York,Virginia,Arizona,Massachusetts,Utah,the District of Columbia,Washington,Colorado,Michigan,Connecticut,New Jersey,Nevada,Pennsylvania,Missouri,Maine,South Carolina,Maryland,North Carolina,Minnesota,Indiana,Georgia,Illinois,New Hampshire,Iowa,Hawaii,Idaho,Tennessee,New Mexico,Mississippi,Ohio,Kansas,Oregon,Montana,Alabama,West Virginia,Vermont,Wisconsin,Rhode Island,North Dakota,Louisiana,Wyoming,Arkansas,Oklahoma,Kentucky,Alaska,Nebraska,Delaware,South Dakota
2000-01-01,106839.4375130072,185932.00026699944,111831.96557117313,149637.59331055314,122778.08436108366,134711.71707636592,192670.1723418387,166397.3409371237,158963.69880311546,171436.1080385597,174272.95072355666,112738.17727500272,159016.87156259615,168017.0319484674,153618.69303620118,97556.16354866758,95214.39992272093,104391.6180668128,113363.56029457742,149974.11194392518,127804.13004544853,121294.8897630981,95619.43776898153,124808.20177787382,124917.66573382354,130615.09715655402,88400.53446660578,192062.45347522377,121573.87897452501,111069.5161870884,,88083.37632819518,102073.24597745156,86816.86394927873,148765.90609428388,,98443.06719674647,72001.68176924805,113714.3917480596,116992.4477048242,130091.26414339922,,108000.70140773374,,87413.75161332484,82185.0607666093,87953.05087443431,133100.23531476042,112888.88611639956,146721.63546279134,105043.28015809729
2000-02-01,107070.86168001467,186556.97321710107,111892.73794998838,150170.4501332885,123095.78887713698,134955.71959922375,193313.4339554039,166488.50725091394,159483.63468754065,171822.80605151487,174891.7453979074,112800.2707715099,159622.68449694692,168469.94690877546,153637.89584720175,97764.82879441074,95325.99853555151,104738.93089492581,113613.82137235973,149953.31090759765,127998.56750861334,121703.17282061819,95487.96324875216,125091.61962144746,125017.77562113001,131058.8171020582,88569.46373757982,191973.59359364037,121500.17902151735,111162.17134457888,,88035.06863252836,102135.62199005522,86833.90626367142,149093.05812897725,,98614.49200872568,71998.59971071966,113904.80354467334,116958.49298139574,130682.90808158423,,108209.02500423198,,87530.5759255638,82218.96231274177,87998.46060281241,133251.40906290276,113069.34366706753,146949.90065496467,104820.0978908665
2000-03-01,107351.39390066113,187400.8397378243,111922.21350579476,150683.4107565446,123432.63024231723,135269.7553279413,194078.8137687887,166631.6381539307,160221.37009313962,172217.27245317356,175575.57752980982,113027.59933814297,160255.25389545687,168902.1075720991,153875.6560212957,97960.91807415379,95493.07977420471,105049.03689835167,113817.74617265293,150059.57226265385,128198.83419163416,122083.03306656556,95340.29625900893,125418.63648059366,125234.16763430239,131588.5117837285,88728.94005048723,192268.3707192482,121546.87448012091,111256.66945070152,,88032.96705565852,102230.21851972079,86934.30996586829,149391.93445763612,,98729.34996797024,72021.87287276561,114203.83866087599,117089.37590382849,131304.23153910256,,108370.90994847384,,87663.12294621104,82376.98828063607,88081.08174515776,133402.50374769993,113236.59462715876,147234.11136571076,104507.77082126813
2000-04-01,107921.64375090665,189232.62233812714,112068.50330304402,151786.6496101302,124069.14839509013,135910.99818707493,195586.28926361128,166990.75606747542,161803.2266072949,173013.40649722118,177104.6015928208,113480.43694884225,161326.9510309105,169859.5733211511,154420.52559172385,98360.51823020754,95874.98998446779,105732.21827908991,114285.2138487968,150315.98405632007,128633.24800009532,122974.70837730537,94891.40457121714,126107.1505113388,125743.22699028451,132383.65692657785,89073.40452302713,192779.71200739432,121643.82471433315,111484.02442816696,,88096.47051298498,102508.38417981735,87084.40651268089,150019.10664924476,,98986.66618743377,72080.77862580912,114791.42502894212,117277.33629231162,132531.865303895,,108735.87045796013,,87946.13225450617,82664.74528343894,88286.40284210275,133579.70249759484,113496.21886759945,147884.09482233317,104086.78742894628
2000-05-01,108536.59676346084,191361.7936692479,112163.24286987871,152928.1074506118,124683.63695001486,136637.85603726062,197218.0572470403,168292.2169949588,163558.79460690042,173882.33674855315,178811.2575366874,114148.24026329342,162207.6019603466,170835.63437071597,155114.83507102868,98771.00764558541,96368.3072882342,106375.77868296464,114721.66779135836,150852.5606081468,129117.20912216026,123952.89449790186,94674.50983742473,126866.55406321622,126347.24182891013,133253.98887159608,89453.98457606525,193781.3863168096,121959.96195660839,111746.28602360476,,88405.48993515065,102932.51763943153,87310.66361850545,150578.41081933692,,99273.66061954822,72195.70078684822,115468.0891263355,117652.33212164283,133755.147065584,,109122.54240907884,,88225.26725996206,83051.2476881593,88559.28027740249,133846.46133176523,113627.87678226737,148625.42988445293,103911.6460360607
2000-06-01,109164.04696651023,193659.16335042592,112269.4689877125,154162.33904372796,125277.03433524363,137290.1385942005,198986.0476508392,169727.0011670864,165444.51353215962,174711.8450446999,180654.1740897027,114881.68905742333,163079.865847106,172000.55335443193,155738.15361741534,99192.87971305258,96913.45411372697,107098.26914797485,115202.42955290475,151501.31274478513,129632.02511331077,125083.86297457862,94738.57596172392,127671.26622185677,127026.07744946837,134173.40976294526,89838.12201741722,194912.6218357807,122346.33505650247,112006.56900548191,,88847.61100674554,103458.77895052319,87565.87610218879,151097.55878036658,,99620.64838732034,72386.61271430804,116099.89765022435,118092.45573277929,134687.19503556108,,109543.75304161602,,88493.259131765,83417.66025330081,88859.25309665939,134045.87960090255,113705.78831188798,149443.31246731515,103791.6374905077
2000-07-01,109794.48095057167,196085.34982665788,112339.27598276238,155271.9088643248,125997.35577960497,137953.44589723347,201078.23761596635,171165.3436010879,167234.76393623397,175613.01991815274,182521.52302952972,115737.35494917627,164054.75224709525,173318.76658799648,156221.2563256797,99640.88182951823,97506.13030174655,107875.20779427921,115668.96381032527,152269.1227836983,130134.75089555858,126327.89961802331,95204.14196012261,128484.40633112674,127762.36869495602,135449.37415658528,90228.22833061624,196043.905694261,122728.42588302412,112288.11914927112,,89255.92218105758,103979.01697234066,87897.85096750902,151529.81059559324,,99941.94581416971,72637.49052480135,116729.24304813449,118675.30184525296,135539.02325853673,,109955.53509336912,,88752.29199962527,83797.08262569865,89197.46440181951,134462.0020231798,113796.02797606819,150275.47407811848,103707.94901179471
2000-08-01,110436.54563807714,198618.41662402768,112545.7925043362,156243.14873210512,126846.78571912127,138590.6069532647,203652.89587566617,171757.79680577258,168774.69529846692,176445.70947240005,184548.6150483373,116601.08392628335,165234.16232393344,174920.5831005671,156686.70049964092,100068.5483579687,98145.22313362193,108683.48011678086,116182.54360813905,152981.65112757325,130608.82853949103,128031.69379162845,95678.68324048344,129343.94660276322,128810.39116133733,136944.18961656155,90561.82638295356,197352.92509708507,123114.3248096103,112578.71040107911,,89644.8085018277,104484.65323730752,88258.34605214892,151991.4965147064,,100232.30237882725,72965.6574201554,117379.90322473033,119319.48229843348,136392.5812053386,,110281.12957829067,,89046.98144712875,84150.28734117064,89584.36851658211,134657.72023184283,114011.98947125202,151085.23158982143,103554.18184305001
2000-09-01,111102.05025278665,201157.3617253812,112816.60842775647,157106.18862467678,127775.06105497429,139295.3029194858,206546.00264033003,172275.81537012,169931.4181168331,177203.65784977682,186676.58240510695,117426.63156301268,166475.96995950898,176691.8664447607,157246.87999605105,100504.30047079049,98788.70439590832,109524.61580574198,116712.74501468963,153709.8686104222,131071.54797643509,129793.06876412051,96049.50046446589,130222.44524553842,130042.88408084722,138550.11783037582,90909.80688416382,198646.84173456044,123437.37674982873,112925.89780094395,,89991.23524097643,104981.47498689369,88596.02083271356,152379.71479542158,,100543.76217532677,73259.50749673399,118099.22971483837,119964.76898141415,137444.26408276943,,110651.94880055595,,89380.28907921142,84471.35664197919,90013.79832181013,134836.25912341973,114275.78726145432,151832.71494428956,103768.40166526723
2000-10-01,111781.42660879342,203565.10545630264,113106.7928954345,158031.25384678846,128653.36019093504,139974.2907668608,209602.14364461045,172713.3652912364,170226.11991198277,177863.65193602222,188790.1849619335,118197.65901601035,167834.93357650607,178482.95918326708,157876.6656023674,100922.20274945929,99472.76152061309,110319.84580193167,117234.61679960733,154478.35172495208,131560.74413763138,131595.67780438322,96503.4762065016,131135.49902166403,131465.4055352422,140397.87018585508,91338.68364144598,200001.36243303388,123749.31452193059,113262.14195184731,,90471.88600716121,105461.41241341697,88941.24991783721,152769.67827200663,,100901.14735908822,73598.42309926852,118964.87309452887,120596.59904040124,138498.3954921708,,111091.07564563981,,89715.13142117906,84758.29504407407,90414.98184925229,134779.0186913363,114552.7822298702,152500.21864806686,104008.50691958859
2000-11-01,112487.4108178179,205936.2764963177,113441.64806008253,159164.52234615784,129541.10810434986,140628.16627466018,212554.88652595642,173255.78809314527,170516.83901164043,178531.41873707165,190824.16618511526,118995.23712544581,169207.63870653944,180080.81446488015,158605.98997613494,101383.23051025538,100215.34512497006,111275.61261999718,117754.485273259,155273.80033225007,132111.6012613202,133095.74198040742,97048.9052227931,132040.22939264856,132551.0548705743,142171.08644320004,91769.17913209651,200881.23744234513,123997.84356077157,113630.21627878914,,90982.20014085334,105929.8537959659,89315.74339225989,153162.81767134528,,101305.696908083,74041.52971777473,119844.92485537035,121183.77199445832,139508.44046945823,,111670.33575520302,,90151.72136825479,85088.85854221215,90839.4167119625,134917.95511834163,114871.56703200612,153320.40634269483,104047.71131536907
2000-12-01,113215.5732879468,208256.93020342852,113813.59178719016,160408.4931024404,130448.8603504981,141263.33234151328,215473.59216538825,173775.7506748879,170869.37054766086,179324.05447232406,192767.50929232608,119824.7599560634,170445.73937612772,181501.1047718532,159311.6353690365,101860.0965968885,100916.4555985396,112322.4036440464,118198.38576113446,156140.00745850033,132696.17496907053,134665.94551105614,97691.05964641088,132997.7879474891,133412.8206628297,143968.0484456103,92246.8833910902,201651.853459249,124239.64447645117,114045.13785143003,,91632.54974332447,106376.30808732536,89741.60874891438,153607.40224036205,,101753.64464597462,74618.363626043,120725.09405630174,121759.86936309376,140590.6425937821,,112301.01980952594,,90645.6734978294,85483.61231567917,91281.32345394556,135254.6164336549,115199.14242158242,154087.02522747742,103948.46185746521
