Date,Florida
2009-01-01,176379.13381167178
2009-02-01,173021.7848996525
2009-03-01,169865.53586101
2009-04-01,166722.85673569722
2009-05-01,163682.56254807362
2009-06-01,160790.4644103828
2009-07-01,158315.88402846226
2009-08-01,156035.97157299088
2009-09-01,153948.58378651805
2009-10-01,152182.62630349785
2009-11-01,151005.19442874248
2009-12-01,150110.36067282522
2010-01-01,149421.51843574262
2010-02-01,148821.6688124597
2010-03-01,148413.05597494927
2010-04-01,148056.2906185607
2010-05-01,147593.71948775317
2010-06-01,146896.17896395552
2010-07-01,145929.46029455416
2010-08-01,144722.2564337204
2010-09-01,143404.42370457886
2010-10-01,142026.23210992626
2010-11-01,140630.56078488726
2010-12-01,139300.20531489354
2011-01-01,137970.79009697062
2011-02-01,136710.17703704085
2011-03-01,135422.6874675455
2011-04-01,134177.04057826631
2011-05-01,132932.95622646785
2011-06-01,131808.39195447523
2011-07-01,130772.0636708788
2011-08-01,129956.70084884188
2011-09-01,129343.778945187
2011-10-01,128992.40733347763
2011-11-01,128812.79853858869
2011-12-01,128730.92915927296
2012-01-01,128759.35953521194
2012-02-01,128880.3510675324
2012-03-01,129073.89030117418
2012-04-01,129434.60736549448
2012-05-01,129901.59994620182
2012-06-01,130534.38685107144
2012-07-01,131169.10749947873
2012-08-01,131733.50766649333
2012-09-01,132333.92708043932
2012-10-01,133078.34442231193
2012-11-01,134132.50883490822
2012-12-01,135537.45845954132
2013-01-01,137144.27683772732
2013-02-01,138784.6451201942
2013-03-01,140458.59750312174
2013-04-01,142182.69995186385
2013-05-01,144127.32879045606
2013-06-01,146032.90821079968
2013-07-01,147863.39501557386
2013-08-01,149611.04428404834
2013-09-01,151309.46700214103
2013-10-01,153102.64165193343
2013-11-01,154686.44347681184
2013-12-01,156302.35381066045
2014-01-01,157840.42661516
2014-02-01,159497.9787654306
2014-03-01,161052.47139327295
2014-04-01,162436.7796480483
2014-05-01,163802.17634704403
2014-06-01,164933.68162826778
2014-07-01,166099.40680889713
2014-08-01,167091.3840776619
2014-09-01,168122.4583788144
2014-10-01,168987.75834789246
2014-11-01,170069.10948774556
2014-12-01,171351.36066940372
2015-01-01,172751.31047059366
2015-02-01,173978.25172458845
2015-03-01,175061.57706748773
2015-04-01,176149.60510888338
2015-05-01,177382.00360692575
2015-06-01,178645.62734863968
2015-07-01,180086.39247864974
2015-08-01,181611.6859756737
2015-09-01,183270.91985226865
2015-10-01,185004.73957267049
2015-11-01,186676.53051331895
2015-12-01,188228.68595362
2016-01-01,189659.40545608025
2016-02-01,191015.58861554335
2016-03-01,192262.22775234803
2016-04-01,193582.7141259983
2016-05-01,194889.4495821218
2016-06-01,196286.3632063981
2016-07-01,197512.5721442143
2016-08-01,198783.0759706828
2016-09-01,200210.25938104288
2016-10-01,201797.90326994497
2016-11-01,203251.17617900527
2016-12-01,204456.42377690927
2017-01-01,205512.48336831536
2017-02-01,206694.4320121286
2017-03-01,208074.26749403463
2017-04-01,209540.26344706828
2017-05-01,210824.22560085633
2017-06-01,212148.37488242617
2017-07-01,213406.43396920912
2017-08-01,214826.80818271125
2017-09-01,216202.53269152777
2017-10-01,217677.811770261
2017-11-01,219196.0116719079
2017-12-01,220785.4855508729
2018-01-01,222199.208309855
2018-02-01,223440.8187991976
2018-03-01,224689.78303577987
2018-04-01,225927.5584678653
2018-05-01,227211.28222434837
2018-06-01,228292.65872966105
2018-07-01,229694.4770597425
2018-08-01,231063.89900133573
2018-09-01,232454.50096543285
2018-10-01,233598.8908019165
2018-11-01,234814.10456662177
2018-12-01,236127.4261850411
2019-01-01,237312.61425137412
2019-02-01,238376.10461452615
2019-03-01,239095.2493639663
2019-04-01,239614.5165171493
2019-05-01,239893.6085889757
2019-06-01,240297.9553127973
2019-07-01,240820.78155971435
2019-08-01,241533.80727014437
2019-09-01,242242.6415916728
2019-10-01,243181.973525743
2019-11-01,244466.76194110463
2019-12-01,246050.15728934144
2020-01-01,247968.50444144176
2020-02-01,249775.83946056152
2020-03-01,251363.7253680325
2020-04-01,252329.57026730664
2020-05-01,252595.93402819269
2020-06-01,252729.497266643
2020-07-01,253299.99143603505
2020-08-01,254872.58128043127
2020-09-01,257394.78507377743
2020-10-01,260379.35404347544
2020-11-01,263883.55055077915
2020-12-01,267366.42000501393
2021-01-01,270971.1322747543
2021-02-01,274562.43643732596
2021-03-01,278400.03870823426
2021-04-01,282667.65689461323
2021-05-01,287832.1542240518
2021-06-01,294154.81700729654
2021-07-01,300629.52578307706
2021-08-01,306389.69720843504
2021-09-01,311057.0675119927
2021-10-01,315652.50358126895
2021-11-01,320793.29113652144
2021-12-01,326350.1909692403
2022-01-01,333326.0255829364
2022-02-01,341439.79621378216
2022-03-01,351016.64935856155
2022-04-01,361087.60090257094
2022-05-01,370739.51348660793
2022-06-01,379318.8744352935
2022-07-01,385140.0679719488
2022-08-01,388086.5367067419
